Suburb,Rooms,Type,Price,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname
Altona,3,h,740000,3,1,2,604,Hobsons Bay,Western Metropolitan
Altona,4,h,931000,4,2,3,532,Hobsons Bay,Western Metropolitan
Altona,2,h,535600,2,1,1,154,Hobsons Bay,Western Metropolitan
Altona North,5,h,1085000,5,3,6,592,Hobsons Bay,Western Metropolitan
Altona North,3,h,781000,3,1,2,533,Hobsons Bay,Western Metropolitan
Altona North,3,h,750000,3,1,3,554,Hobsons Bay,Western Metropolitan
Altona North,2,t,421000,2,1,1,77,Hobsons Bay,Western Metropolitan
Altona North,3,h,1405000,3,1,3,655,Hobsons Bay,Western Metropolitan
Altona North,3,h,683000,3,1,2,534,Hobsons Bay,Western Metropolitan
Altona North,3,h,623000,3,1,3,540,Hobsons Bay,Western Metropolitan
Altona North,3,h,720000,3,2,1,0,Hobsons Bay,Western Metropolitan
Altona North,3,h,588000,3,1,1,328,Hobsons Bay,Western Metropolitan
Altona North,3,h,710000,3,1,3,540,Hobsons Bay,Western Metropolitan
Altona North,4,h,875000,3,1,4,559,Hobsons Bay,Western Metropolitan
Altona North,3,h,700000,3,1,3,554,Hobsons Bay,Western Metropolitan
Altona North,2,t,640000,2,1,1,252,Hobsons Bay,Western Metropolitan
Altona North,4,h,650000,4,1,4,558,Hobsons Bay,Western Metropolitan
Altona North,3,h,675000,3,2,2,171,Hobsons Bay,Western Metropolitan
Altona North,3,h,708000,3,1,2,585,Hobsons Bay,Western Metropolitan
Altona North,4,h,965000,4,1,4,851,Hobsons Bay,Western Metropolitan
Altona North,3,h,680000,3,1,3,551,Hobsons Bay,Western Metropolitan
Altona North,3,h,770000,3,1,3,602,Hobsons Bay,Western Metropolitan
Altona North,3,h,923000,3,1,2,740,Hobsons Bay,Western Metropolitan
Altona North,4,h,693000,4,2,4,315,Hobsons Bay,Western Metropolitan
Altona North,3,h,620000,5,2,2,276,Hobsons Bay,Western Metropolitan
Altona North,3,h,728500,3,1,1,531,Hobsons Bay,Western Metropolitan
Altona North,3,h,931000,3,2,1,590,Hobsons Bay,Western Metropolitan
Altona North,3,h,988000,3,1,4,715,Hobsons Bay,Western Metropolitan
Altona North,3,h,590000,3,1,2,561,Hobsons Bay,Western Metropolitan
Altona North,2,h,610000,2,1,2,691,Hobsons Bay,Western Metropolitan
Altona North,3,h,815000,3,2,3,555,Hobsons Bay,Western Metropolitan
Altona North,4,h,970000,4,1,2,708,Hobsons Bay,Western Metropolitan
Altona North,4,h,760000,4,1,3,668,Hobsons Bay,Western Metropolitan
Altona North,4,t,847500,4,3,1,252,Hobsons Bay,Western Metropolitan
Altona North,4,h,1200000,4,1,4,633,Hobsons Bay,Western Metropolitan
Altona North,3,h,700000,3,1,1,557,Hobsons Bay,Western Metropolitan
Altona North,3,h,625000,3,1,1,536,Hobsons Bay,Western Metropolitan
Altona North,2,u,292000,2,1,1,153,Hobsons Bay,Western Metropolitan
Armadale,2,u,599000,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,2,u,550000,2,1,0,861,Stonnington,Southern Metropolitan
Armadale,3,u,995000,3,2,2,0,Stonnington,Southern Metropolitan
Armadale,3,t,1205000,3,2,2,101,Stonnington,Southern Metropolitan
Armadale,3,h,1939000,3,2,2,296,Stonnington,Southern Metropolitan
Armadale,1,u,421500,1,1,0,0,Stonnington,Southern Metropolitan
Armadale,3,h,1870000,3,1,1,217,Stonnington,Southern Metropolitan
Armadale,2,u,678000,2,1,2,0,Stonnington,Southern Metropolitan
Armadale,3,t,1918000,3,2,2,0,Stonnington,Southern Metropolitan
Armadale,2,u,660000,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,3,h,2050000,3,2,1,205,Stonnington,Southern Metropolitan
Armadale,2,u,700000,2,1,2,0,Stonnington,Southern Metropolitan
Armadale,2,u,3625000,3,2,2,0,Stonnington,Southern Metropolitan
Armadale,4,h,3000000,4,2,2,1581,Stonnington,Southern Metropolitan
Armadale,5,h,1525000,8,2,2,693,Stonnington,Southern Metropolitan
Armadale,3,u,735000,3,2,1,2113,Stonnington,Southern Metropolitan
Armadale,2,u,825000,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,3,t,1586000,2,2,2,246,Stonnington,Southern Metropolitan
Armadale,2,u,645000,3,1,1,0,Stonnington,Southern Metropolitan
Armadale,1,h,1435000,2,2,1,144,Stonnington,Southern Metropolitan
Armadale,1,u,280000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,1,u,400000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,2,h,1780000,2,2,2,0,Stonnington,Southern Metropolitan
Armadale,2,u,592500,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,2,h,1210000,2,1,0,249,Stonnington,Southern Metropolitan
Armadale,4,h,2801000,4,2,2,624,Stonnington,Southern Metropolitan
Armadale,1,u,390000,1,1,0,881,Stonnington,Southern Metropolitan
Armadale,3,h,1800000,3,2,2,405,Stonnington,Southern Metropolitan
Armadale,4,h,2200000,4,1,2,495,Stonnington,Southern Metropolitan
Armadale,1,u,324000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,6,h,5525000,5,3,4,1491,Stonnington,Southern Metropolitan
Armadale,2,h,1125000,3,1,2,169,Stonnington,Southern Metropolitan
Armadale,3,h,2250000,3,3,1,301,Stonnington,Southern Metropolitan
Armadale,3,h,2360000,3,2,0,336,Stonnington,Southern Metropolitan
Armadale,2,h,1900000,2,2,0,207,Stonnington,Southern Metropolitan
Armadale,1,u,440000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,2,u,490000,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,3,h,2365000,3,2,1,316,Stonnington,Southern Metropolitan
Armadale,3,h,1300000,2,1,2,212,Stonnington,Southern Metropolitan
Armadale,3,u,732000,3,2,2,0,Stonnington,Southern Metropolitan
Armadale,2,u,704000,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,2,u,620000,3,1,1,0,Stonnington,Southern Metropolitan
Armadale,3,h,1900000,3,1,2,328,Stonnington,Southern Metropolitan
Armadale,1,u,315000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,1,u,450000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,2,u,710000,2,1,1,2471,Stonnington,Southern Metropolitan
Armadale,2,u,872000,2,1,1,1194,Stonnington,Southern Metropolitan
Armadale,2,u,598000,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,3,h,1285000,3,1,2,186,Stonnington,Southern Metropolitan
Armadale,4,h,3660000,4,3,2,421,Stonnington,Southern Metropolitan
Armadale,2,u,520000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,4,h,3625000,4,1,2,709,Stonnington,Southern Metropolitan
Armadale,4,h,4200000,4,3,3,563,Stonnington,Southern Metropolitan
Armadale,3,t,1101000,3,1,2,103,Stonnington,Southern Metropolitan
Armadale,3,h,3512500,3,2,2,617,Stonnington,Southern Metropolitan
Armadale,4,h,2000000,4,3,4,544,Stonnington,Southern Metropolitan
Armadale,3,u,869000,2,1,1,0,Stonnington,Southern Metropolitan
Armadale,5,h,2810000,5,2,2,617,Stonnington,Southern Metropolitan
Armadale,2,u,565000,3,1,1,0,Stonnington,Southern Metropolitan
Armadale,1,u,567000,1,1,1,0,Stonnington,Southern Metropolitan
Armadale,2,u,546000,2,0,0,0,Stonnington,Southern Metropolitan
Armadale,2,u,471500,2,1,1,0,Stonnington,Southern Metropolitan
Ascot Vale,2,u,455000,3,1,2,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,940000,3,1,2,298,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,467000,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1380000,3,2,2,277,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,490000,2,1,1,423,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1850000,4,3,1,478,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1284000,3,1,2,623,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,971000,3,2,2,285,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,710000,2,1,1,214,Moonee Valley,Western Metropolitan
Ascot Vale,6,h,2425000,6,3,2,1014,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,750000,2,1,1,226,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,1053000,2,1,1,269,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1377000,3,1,1,417,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,970000,3,1,2,350,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,940000,2,1,1,330,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,751000,2,1,1,118,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,950000,2,1,1,173,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,685000,2,1,2,228,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1230000,4,1,2,594,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,636500,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,910000,3,1,0,317,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,770000,2,1,1,226,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,960000,3,2,2,229,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,890000,4,1,1,300,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,965000,2,1,1,170,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1440000,3,1,1,487,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,955000,2,1,0,255,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,450000,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,801000,3,1,2,431,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1000000,3,2,2,440,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1435000,3,2,2,532,Moonee Valley,Western Metropolitan
Ascot Vale,1,u,390000,1,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1425000,3,2,2,495,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1340000,3,2,2,683,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,955000,3,1,1,263,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1100000,4,2,5,559,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1255000,3,2,2,308,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,432000,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1640000,4,3,2,562,Moonee Valley,Western Metropolitan
Ascot Vale,6,h,1430000,4,2,1,461,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,610000,2,1,1,301,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,940000,3,3,1,491,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,890000,3,1,1,242,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1180000,3,2,2,617,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1480000,4,2,2,597,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,1150000,2,1,1,387,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1350000,3,1,3,575,Moonee Valley,Western Metropolitan
Ascot Vale,5,h,1905000,5,2,2,521,Moonee Valley,Western Metropolitan
Ascot Vale,2,t,865000,2,2,1,146,Moonee Valley,Western Metropolitan
Ascot Vale,2,t,705000,2,2,1,113,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,442000,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,540000,2,2,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1037500,3,1,2,506,Moonee Valley,Western Metropolitan
Ascot Vale,3,t,1050000,3,2,2,318,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,440000,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,1010000,2,1,1,325,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1430000,4,2,0,418,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,570000,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,690000,2,1,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1291000,3,1,2,414,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1130000,3,2,1,272,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1135000,3,1,1,296,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,950000,4,2,1,298,Moonee Valley,Western Metropolitan
Ascot Vale,3,u,790000,3,2,1,0,Moonee Valley,Western Metropolitan
Ascot Vale,2,u,390000,2,1,1,1957,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1345000,4,1,1,552,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1381500,3,2,2,416,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,940000,3,2,2,285,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,995000,3,2,1,314,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1050000,3,1,3,536,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,786000,3,2,1,576,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,705000,2,1,3,252,Moonee Valley,Western Metropolitan
Ascot Vale,2,h,760000,2,1,1,124,Moonee Valley,Western Metropolitan
Ascot Vale,3,u,487500,3,1,3,0,Moonee Valley,Western Metropolitan
Ascot Vale,3,t,1000000,3,2,2,200,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1110000,4,2,1,349,Moonee Valley,Western Metropolitan
Ascot Vale,4,h,1300000,4,1,4,664,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1060000,3,1,1,555,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1410000,3,2,2,459,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,1305000,2,1,1,278,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,932500,3,2,1,254,Moonee Valley,Western Metropolitan
Ascot Vale,3,h,965000,3,1,0,216,Moonee Valley,Western Metropolitan
