suburb,density,property,price,rooms,bedroom,toilets,ensuite,type,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
STONERIDGE PARK,HIGH,HOUSE,200,5,3,2,1,SELF,CHURU,HARARE MUNICIPALITY,0,0,0,0,0,1,0,1,0,0
AVENUES,LOW,FLAT,2200,7,3,3,2,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,0
ASPINDALE,MEDIUM,CLUSTER,140,2,0,1,0,SHARED,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
BORROWDALE,LOW,HOUSE,2000,8,4,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,0,1,0,1,1,0,1,1,0,1
CHISIPITE,LOW,HOUSE,2000,6,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
BORROWDALE WEST,LOW,COTTAGE,2000,5,3,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,2,1,0,1,0,0,1
WATERFALLS,MEDIUM,COTTAGE,210,3,0,1,0,SELF,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
HIGHLANDS,LOW,HOUSE,2000,7,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,1,1,1,1,1,0,1
HELENSVALE,LOW,HOUSE,2000,7,4,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
BORROWDALE WEST,LOW,FLAT,2000,5,3,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,1,0,1,1,1,1,1,1,0,0
BUDIRIRO 4,HIGH,HOUSE,500,6,4,2,1,SELF,BUDIRIRO NORTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
TYNWALD,MEDIUM,COTTAGE,250,3,0,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
MARLBOROUGH,LOW,HOUSE,1900,5,3,3,2,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,1800,7,4,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,1800,7,4,4,2,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,0,1,1,0,1
HELENSVALE,LOW,HOUSE,1800,7,4,3,2,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
HIGHLANDS,LOW,HOUSE,1800,8,4,3,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,1,1,0,1,1,0,1
HIGHLANDS,LOW,HOUSE,1700,7,4,3,2,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,1700,6,4,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,3,1,0,1,0,1,1
MARLBOROUGH,LOW,HOUSE,1500,7,5,3,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,2,1,1,1,1,0,1
POMONA,LOW,COTTAGE,300,2,1,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
CHADCOMBE,MEDIUM,COTTAGE,450,5,3,1,0,SELF,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
MOUNT PLEASANT,LOW,HOUSE,1500,6,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
ARCADIA,MEDIUM,COTTAGE,450,3,2,1,0,SELF,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
WARREN PARK,HIGH,HOUSE,550,6,3,2,1,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,0,3,1,0,1,1,0,1
ASHBRITTLE,LOW,HOUSE,1500,8,4,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
MANDARA,LOW,HOUSE,1500,8,4,3,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,1,1,1,1,1,0,1
AVONDALE,LOW,HOUSE,1500,5,2,1,0,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,0,1,1,1,1,0,0
SHAWASHA HILLS,LOW,HOUSE,1400,7,4,4,3,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,1,1,0,1,1,1,1
BORROWDALE,LOW,FLAT,1300,6,3,4,3,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,0,0,1,1,1,1,0,0
MABELREIGN,LOW,HOUSE,1300,6,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,0,1,0,1,1,0,1
WESTGATE,LOW,HOUSE,1300,7,4,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
WESTGATE,LOW,HOUSE,1250,7,5,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,1,0,1,2,1,1,1,1,0,1
MARLBOROUGH,LOW,HOUSE,1200,7,5,6,5,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,1,1,1,0,1
AVONLEA,LOW,HOUSE,1200,5,3,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
BORROWDALE WEST,LOW,HOUSE,1200,7,5,3,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,1,1,0,1,0,0,0
WESTGATE,LOW,HOUSE,1200,7,4,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,2,0,1,1,1,0,1,1,0,1
BELVEDERE,LOW,HOUSE,1200,7,4,2,1,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
ADELAIDE PARK,HIGH,HOUSE,400,7,3,2,1,SELF,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,1,0,1,1,1,1,0,0
ARDBENNIE,HIGH,HOUSE,450,7,3,2,1,SELF,MBARE,HARARE MUNICIPALITY,0,0,0,0,1,1,1,0,0,0
BUDIRIRO 5,HIGH,HOUSE,300,7,3,2,1,SELF,BUDIRIRO SOUTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
MOUNT PLEASANT,LOW,HOUSE,1200,7,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,1200,8,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
HELENSVALE,LOW,FLAT,1200,6,3,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,1,1,0,1,0,0,1
UNIT P,HIGH,CLUSTER,100,2,1,1,1,SHARED,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
LOGAN PARK,HIGH,COTTAGE,120,1,0,1,1,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,0,0,0,1,0,0
AVENUES,LOW,FLAT,1200,4,2,1,0,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,0
AVONDALE,LOW,FLAT,1200,4,2,1,0,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,1
MARLBOROUGH,LOW,FLAT,1100,4,2,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,0
MOUNT PLEASANT,LOW,HOUSE,1100,7,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,1100,4,2,2,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,0,2,1,0,1,1,0,0
BLOOMINGDALE,LOW,HOUSE,1000,6,4,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,1
AVENUES,LOW,FLAT,1000,5,3,2,1,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,0
GLAUDINA,HIGH,HOUSE,400,7,4,2,1,SELF,DZIVARASEKWA,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,0
DZIVARASEKWA,HIGH,CLUSTER,350,7,4,2,1,SELF,DZIVARASEKWA,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
KUWADZANA 6,HIGH,CLUSTER,330,6,4,2,1,SELF,KUWADZANA EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
GLEN NORAH,HIGH,CLUSTER,320,6,3,2,1,SELF,GLEN NORAH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
MANRESA PARK,HIGH,COTTAGE,130,2,0,1,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
CRANBORNE,MEDIUM,HOUSE,500,5,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,1
CHADCOMBE,MEDIUM,HOUSE,500,5,3,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
MOUNT PLEASANT,LOW,HOUSE,950,5,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,0,1,1,1,1,0,1
WESTGATE,LOW,FLAT,900,7,4,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,2,0,1,0,1,0,1,0,0,1
MARLBOROUGH,LOW,HOUSE,900,5,3,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
MARLBOROUGH,LOW,HOUSE,900,6,3,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
DRYCOAT FARM,COMPOUND,CLUSTER,30,1,0,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,0,0,0,1,0,0
BLUFF HILL,LOW,COTTAGE,900,6,3,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
MOUNT PLEASANT,LOW,COTTAGE,750,5,3,1,0,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
AVONDALE,LOW,HOUSE,700,6,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,1,1,0,1,0,0,1
HELENSVALE,LOW,COTTAGE,700,4,3,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,0
BLUFF HILL,LOW,COTTAGE,650,7,4,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
MOUNT PLEASANT,LOW,HOUSE,650,5,3,1,0,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
BLUFF HILL,LOW,COTTAGE,650,5,2,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
ASHBRITTLE,LOW,HOUSE,600,6,3,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
BORROWDALE,LOW,COTTAGE,600,4,2,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
BLUFF HILL,LOW,COTTAGE,450,4,2,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
MANDARA,LOW,COTTAGE,450,4,2,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,0
WESTGATE,LOW,COTTAGE,400,4,2,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,1
BLUFF HILL,LOW,COTTAGE,350,3,2,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
WESTERN TRIANGLE,HIGH,CLUSTER,180,3,1,1,0,SHARED,GLENVIEW NORTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
UNIT B,HIGH,HOUSE,260,4,2,1,0,SELF,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
WATERFALLS,MEDIUM,HOUSE,550,5,3,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,1
UNIT F,HIGH,HOUSE,200,4,2,1,0,SELF,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
UNIT K,HIGH,HOUSE,200,4,2,1,0,SELF,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
ZENGEZA 4,HIGH,CLUSTER,180,3,1,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
ASPINDALE,MEDIUM,HOUSE,550,6,4,2,1,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,1,1
SHAWASHA HILLS,LOW,CLUSTER,350,2,1,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,1,1,0,1,1,1,1
MABELREIGN,LOW,COTTAGE,250,3,1,1,0,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
WATERFALLS,MEDIUM,HOUSE,550,6,4,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
ZENGEZA 4,HIGH,CLUSTER,180,3,1,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
ZENGEZA 4,HIGH,CLUSTER,180,4,2,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
HATCLIFFE,HIGH,HOUSE,400,7,3,1,0,SELF,HATCLIFFE,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,0
MANYAME PARK,HIGH,CLUSTER,130,3,1,1,0,SHARED,ST MARYS,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
ST MARYS,HIGH,CLUSTER,100,2,0,1,0,SHARED,ST MARYS,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
ZENGEZA 1,HIGH,COTTAGE,150,3,1,1,0,SHARED,ST MARYS,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
ROCKVIEW,HIGH,CLUSTER,150,3,1,1,0,SHARED,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
ZENGEZA 5,HIGH,CLUSTER,150,2,0,1,0,SHARED,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
WESLEA PARK,HIGH,COTTAGE,150,3,0,1,0,SHARED,EPWORTH NORTH,EPWORTH LOCAL BOARD,0,0,0,0,1,0,0,1,0,0
UNIT N,HIGH,CLUSTER,100,2,1,1,0,SHARED,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
UNIT G,HIGH,CLUSTER,110,2,0,1,0,SHARED,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
UNIT O,HIGH,CLUSTER,125,3,0,1,0,SHARED,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
UNIT M,HIGH,CLUSTER,120,2,0,1,0,SHARED,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
UNIT L,HIGH,CLUSTER,120,2,0,1,0,SHARED,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
ZENGEZA 3,HIGH,CLUSTER,130,3,0,1,0,SHARED,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
NYATSIME,HIGH,CLUSTER,80,2,0,1,0,SHARED,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,0,0,0,0
NYATSIME ROCKVIEW,HIGH,CLUSTER,125,3,0,1,0,SHARED,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,0,1,0,0
EYESTONE,HIGH,CLUSTER,120,4,2,1,0,SELF,HARARE SOUTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
ZENGEZA 4,HIGH,CLUSTER,120,2,0,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
PANGUOLA FARM,COMPOUND,CLUSTER,30,2,0,1,0,SHARED,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,0,0,0,1,0,0
UNIT D,HIGH,CLUSTER,130,3,0,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,0,0,0,0
BUTLER FARM,COMPOUND,CLUSTER,40,1,1,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
UNIT C,HIGH,CLUSTER,90,2,0,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
UNIT A,HIGH,CLUSTER,100,2,0,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
UNIT J,HIGH,CLUSTER,90,2,0,1,0,SHARED,CHITUNGWIZA SOUTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,0,1,0,0
UNIT F,HIGH,CLUSTER,90,2,0,1,0,SHARED,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
PARKTOWN,MEDIUM,HOUSE,600,5,3,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
UNIT B,HIGH,CLUSTER,150,2,0,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
UNIT H,HIGH,CLUSTER,80,2,0,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
UNIT E,HIGH,CLUSTER,90,2,0,1,0,SHARED,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
ADELAIDE PARK,HIGH,COTTAGE,250,4,2,1,0,SELF,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
DANKWERTS FARM,COMPOUND,CLUSTER,40,1,0,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
WESTVIEW,COMPOUND,CLUSTER,60,1,1,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,1,0,1,1,0,1
SOLANI,COMPOUND,CLUSTER,60,1,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,1,0,1,0,0,0
EPWORTH,COMPOUND,CLUSTER,60,2,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
GARIKAI,COMPOUND,CLUSTER,35,1,0,1,0,SHARED,EPWORTH NORTH,EPWORTH LOCAL BOARD,0,0,0,0,1,0,1,1,0,0
MABVAZUVA,COMPOUND,CLUSTER,60,2,0,1,0,SHARED,EPWORTH NORTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
ROCKDALE,COMPOUND,CLUSTER,60,2,0,1,0,SHARED,EPWORTH NORTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
CHURU FARM,COMPOUND,CLUSTER,60,2,9,1,0,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,0,0,1,1,0,0
WARREN PARK,HIGH,CLUSTER,70,1,0,1,0,SHARED,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
